tf,domain,emi,end_preference,periodic_preference,groove_preference,dyad_preference,gyre_spanning,orientational_preference,nucleosome_stability
CUX1,CUT,12.0,1,1,0,0,0,0,0
NFKB2,RHD,12.0,1,0,0,0,0,0,1
USF2,bHLH,12.0,1,0,0,0,0,0,0
MNX1,Homeodomain,11.5,1,0,0,0,0,0,1
TFAP2C,AP2,11.5,1,0,0,0,0,0,0
NR3C2,Nuclear_receptor,11.5,1,0,0,0,0,0,1
ELF1,ETS,11.5,1,0,0,0,0,1,0
IRX1,Homeodomain,11.5,1,1,0,0,0,0,1
ELF2,ETS,11.5,1,0,0,0,0,1,0
GATA2,Znf_GATA,11.5,1,0,0,0,0,0,0
SIX6,Homeodomain,11.5,1,0,0,0,0,0,0
ESX1,Homeodomain,11.0,1,1,1,0,0,0,0
FEV,ETS,11.0,1,1,0,0,0,1,0
TBX2,T_box,10.5,1,1,0,1,1,0,1
NKX2-3,Homeodomain,10.5,1,0,0,0,0,0,1
FOXB1,Forkhead,10.5,1,1,0,0,0,0,0
IRF8,IRF,10.5,1,1,0,0,0,1,0
SRF,MADS,10.5,1,0,0,0,0,0,0
HOXB13,Homeodomain,10.5,1,1,0,0,0,0,0
POU3F4,POU,10.0,1,0,0,0,0,0,1
MLX,bHLH,10.0,1,0,0,0,0,0,0
ARX,Homeodomain,10.0,1,1,1,0,0,0,1
PAX1,PAX,9.5,1,0,0,0,0,0,1
GSX2,Homeodomain,9.5,1,1,0,0,0,0,0
FLI1,ETS,9.5,1,1,0,0,0,0,1
EVX2,Homeodomain,9.5,1,1,1,0,0,0,1
PAX2,PAX,9.5,1,0,0,0,0,0,1
T,T_box,9.5,1,1,1,0,1,0,1
HOXD10,Homeodomain,9.0,1,1,0,0,0,0,0
NFATC2,RHD,9.0,1,1,0,0,0,0,1
ATF3,bZIP,9.0,1,0,0,0,0,0,0
POU4F3,POU,9.0,1,0,0,0,0,0,1
ERG,ETS,9.0,1,1,0,0,0,1,1
ATF2,bZIP,8.5,1,0,0,0,0,0,0
RFX4,RFX,8.5,1,0,0,0,0,1,1
POU2F3,POU,8.5,1,0,0,0,0,0,1
HSF1,HSF,8.5,1,0,0,0,0,0,0
SOHLH2,bHLH,8.5,1,0,0,0,0,0,0
GATA3,Znf_GATA,8.5,1,0,0,0,0,0,0
MAFA,bZIP,8.0,1,0,0,0,0,1,1
CREB5,bZIP,8.0,1,0,0,0,0,0,1
CREB3L1,bZIP,8.0,1,1,0,0,0,0,1
GATA6,Znf_GATA,8.0,1,1,1,0,0,0,0
TFEB,bHLH,8.0,1,1,0,0,0,0,1
TCF12,bHLH,8.0,1,1,0,0,0,0,1
ETV4,ETS,8.0,1,1,0,0,0,0,1
GSX1,Homeodomain,8.0,1,1,0,0,0,0,0
XBP1,bZIP,8.0,1,0,0,0,0,0,0
FIGLA,bHLH,8.0,1,0,0,0,0,0,0
CREB3L4,bZIP,7.5,1,0,0,0,0,0,0
JUND,bZIP,7.5,1,1,1,0,0,0,0
POU1F1,POU,7.5,1,1,0,0,0,0,1
ELF5,ETS,7.5,1,1,0,0,0,1,1
GLI3,Znf_C2H2,7.5,1,1,1,0,0,0,0
SPIB,ETS,7.5,1,1,0,0,0,0,1
ZGLP1,Znf_GATA,7.5,1,1,1,0,1,0,0
POU4F1,POU,7.5,1,0,0,0,0,0,0
ETV5,ETS,7.0,1,1,0,0,0,1,1
ZIC1,Znf_C2H2,7.0,1,0,0,0,0,0,0
RFX2,RFX,7.0,1,0,0,0,0,0,0
TFAP4,bHLH,7.0,1,1,0,0,0,0,1
ETV1,ETS,7.0,1,1,0,0,0,0,1
CREB1,bZIP,7.0,1,0,0,0,0,1,0
RFX1,RFX,7.0,1,0,0,0,0,0,0
MAF,bZIP,7.0,1,0,0,0,0,0,0
CLOCK,bHLH,7.0,1,1,0,0,0,0,0
TFE3,bHLH,7.0,1,0,0,0,0,0,0
TCF4,bHLH,7.0,1,1,0,0,0,0,1
MAFG,bZIP,7.0,1,0,0,0,0,0,0
JUND2,bZIP,7.0,1,0,0,0,0,0,0
NKX2-4,Homeodomain,6.5,1,0,0,0,0,0,1
CREM,bZIP,6.5,1,0,0,0,0,0,1
HOXC10,Homeodomain,6.5,1,1,1,0,0,0,0
MYCN,bHLH,6.5,1,1,0,0,0,0,0
SREBF1,bHLH,6.0,1,1,0,0,0,0,1
HSF4,HSF,6.0,1,0,0,0,0,0,1
SREBF2,bHLH,6.0,1,1,0,0,0,0,1
POU2F2,POU,6.0,1,1,0,0,0,0,1
ELK3,ETS,6.0,1,1,0,0,0,0,1
CEBPE,bZIP,6.0,1,0,0,0,0,0,0
TFEC,bHLH,6.0,1,0,0,0,0,0,1
CEBPB,bZIP,6.0,1,0,0,0,0,0,0
ZIC4,Znf_C2H2,6.0,1,1,0,0,0,0,0
POU3F2,POU,5.5,1,0,0,0,0,0,0
RFX3,RFX,5.5,1,0,0,0,0,0,1
HOXD12,Homeodomain,5.5,1,1,1,0,0,0,0
DUXA,Homeodomain,5.0,1,0,0,0,0,0,1
